,src,dest
0,USF1,S100A6
1,USF1,DUSP1
2,USF1,C4A
3,USF1,ABCA1
4,TP53,TP73
5,TP53,SIAH1
6,TP53,PMAIP1
7,TP53,EI24
8,TP53,CDKN1A
9,TP53,CCNG1
10,TP53,BAX
11,TFAP2A,VEGFA
12,TFAP2A,TNPO1
13,TFAP2A,JUP
14,STAT5A,BCL2L1
15,STAT3,SOCS3
16,STAT1,SOCS3
17,SRF,FOS
18,SP1,VEGFB
19,SP1,RARA
20,SP1,PSEN1
21,SP1,NFKB2
22,RELA,TP53
23,RELA,PTGS2
24,RELA,NFKB2
25,RELA,ICAM1
26,RELA,CXCL1
27,RELA,CCL5
28,PPARG,NR1H3
29,PPARG,LPL
30,PPARG,CPT1B
31,NFKB1,TRAF1
32,NFKB1,TP53
33,NFKB1,PTGS2
34,NFKB1,NOS2
35,NFKB1,LTA
36,NFKB1,ICAM1
37,NFKB1,CXCL1
38,NFKB1,CD40
39,NFKB1,CCL5
40,MYC,WT1
41,MYC,VDAC2
42,MYC,USO1
43,MYC,TXNDC5
44,MYC,TRIM25
45,MYC,TRIB1
46,MYC,TOP1
47,MYC,TGFB2
48,MYC,SRM
49,MYC,SMAD3
50,MYC,SLC4A2
51,MYC,SLC43A1
52,MYC,SLC39A8
53,MYC,SIM2
54,MYC,RPL22
55,MYC,RNMT
56,MYC,PTPRF
57,MYC,PTEN
58,MYC,PSME3
59,MYC,PPIA
60,MYC,POLR3G
61,MYC,NUP153
62,MYC,NTN3
63,MYC,NRAS
64,MYC,NR1D1
65,MYC,NPM1
66,MYC,NOL3
67,MYC,NME2
68,MYC,NIT1
69,MYC,NDUFS1
70,MYC,NCL
71,MYC,MTHFR
72,MYC,MSN
73,MYC,MAT2A
74,MYC,LMNA
75,MYC,KHSRP
76,MYC,HSPE1
77,MYC,HSPD1
78,MYC,HSPA9
79,MYC,HNRNPA1
80,MYC,HDAC3
81,MYC,GNL3
82,MYC,GCLC
83,MYC,GALC
84,MYC,EIF4H
85,MYC,EIF4B
86,MYC,DCAF11
87,MYC,CLN3
88,MYC,CLCN6
89,MYC,CDK4
90,MYC,CD63
91,MYC,CCT7
92,MYC,CCND1
93,MYC,CBX5
94,MYC,CASP9
95,MYC,CAD
96,MYC,CACNB1
97,MYC,BCKDHA
98,MYC,ATF4
99,MYC,AMPD2
100,MYC,AKAP1
101,MAX,CCND1
102,JUN,SLC3A2
103,JUN,MMP9
104,JUN,KRT16
105,JUN,CLU
106,FOS,ITGA5
107,ELK1,FOS
108,EGR1,SPINT1
109,E2F1,UNG
110,E2F1,RBL1
111,E2F1,RB1
112,E2F1,RAD51
113,E2F1,POLA2
114,E2F1,PCNA
115,E2F1,MCM5
116,E2F1,MCM3
117,E2F1,E2F3
118,E2F1,E2F1
119,E2F1,DUSP4
120,E2F1,CDC25A
121,E2F1,CCNE1
122,E2F1,CBX5
123,E2F1,BRD2
124,CREB1,MITF
125,YY1,ZNHIT2
126,YY1,ZNF688
127,YY1,ZNF644
128,YY1,ZNF581
129,YY1,ZNF580
130,YY1,ZNF518B
131,YY1,ZNF34
132,YY1,ZNF182
133,YY1,ZHX2
134,YY1,ZFX
135,YY1,ZDHHC18
136,YY1,ZC3H11A
137,YY1,ZADH2
138,YY1,YOD1
139,YY1,YIPF3
140,YY1,XRRA1
141,YY1,XKR6
142,YY1,WDR34
143,YY1,WDR13
144,YY1,WDFY3-AS2
145,YY1,VMAC
146,YY1,USF2
147,YY1,UNC119B
148,YY1,UBXN4
149,YY1,UBE3C
150,YY1,UBE2R2
151,YY1,UBA1
152,YY1,TUG1
153,YY1,TSKU
154,YY1,TRIP12
155,YY1,TRAPPC6B
156,YY1,TRA2B
157,YY1,TPGS2
158,YY1,TOR1AIP2
159,YY1,TOP3A
160,YY1,TNNC1
161,YY1,TMEM187
162,YY1,TMEM131
163,YY1,TLK1
164,YY1,TIA1
165,YY1,THAP1
166,YY1,TCF4
167,YY1,TCEANC2
168,YY1,TBXAS1
169,YY1,TAX1BP3
170,YY1,TAF15
171,YY1,SYMPK
172,YY1,SRR
173,YY1,SP3
174,YY1,SNORA72
175,YY1,SNAP25
176,YY1,SHROOM1
177,YY1,SF3B3
178,YY1,SF3A1
179,YY1,SET
180,YY1,SERP1
181,YY1,SERBP1
182,YY1,RRAS
183,YY1,RPS28
184,YY1,RPS27A
185,YY1,RPP25L
186,YY1,RPL8
187,YY1,RPL36
188,YY1,RPL35A
189,YY1,RPL30
190,YY1,RPL27
191,YY1,RPAIN
192,YY1,RNF167
193,YY1,RIMS2
194,YY1,RER1
195,YY1,RBM5
196,YY1,RBM26
197,YY1,RAPH1
198,YY1,RAN
199,YY1,RAD21
200,YY1,RAB22A
201,YY1,RAB13
202,YY1,PTMA
203,YY1,PTCD2
204,YY1,PSMB3
205,YY1,PSMB1
206,YY1,PRRC2C
207,YY1,PRRC2A
208,YY1,PRPF38B
209,YY1,PRPF38A
210,YY1,PPP4R1L
211,YY1,PPP2R2A
212,YY1,PPP2CA
213,YY1,PPP1R21
214,YY1,PPIA
215,YY1,POLR1A
216,YY1,POLL
217,YY1,POLK
218,YY1,PHB2
219,YY1,PCNT
220,YY1,PCBP1
221,YY1,PBX3
222,YY1,NUTF2
223,YY1,NFYC
224,YY1,NFKBIL1
225,YY1,NFAT5
226,YY1,NEU1
227,YY1,NCDN
228,YY1,NASP
229,YY1,NACA
230,YY1,MUTYH
231,YY1,MTHFR
232,YY1,MTFP1
233,YY1,MRPL47
234,YY1,MPZ
235,YY1,MCFD2
236,YY1,LSM14A
237,YY1,LSM1
238,YY1,KPTN
239,YY1,KLHL28
240,YY1,KIF20A
241,YY1,KANSL1
242,YY1,IWS1
243,YY1,ITIH2
244,YY1,INO80E
245,YY1,IDH3G
246,YY1,HSP90AA1
247,YY1,HIPK2
248,YY1,HIF1A
249,YY1,HHLA3
250,YY1,HARS2
251,YY1,GTF3C2
252,YY1,GTF2E1
253,YY1,GPR137
254,YY1,GPBP1L1
255,YY1,GGPS1
256,YY1,GDI1
257,YY1,GAPDH
258,YY1,GANC
259,YY1,GALR2
260,YY1,GAL3ST3
261,YY1,G6PC3
262,YY1,FHIT
263,YY1,FAU
264,YY1,FANCM
265,YY1,FANCD2
266,YY1,FAM76B
267,YY1,FAM193B
268,YY1,EXOSC5
269,YY1,DTL
270,YY1,DRAP1
271,YY1,DQX1
272,YY1,DOLK
273,YY1,DNM1
274,YY1,DLG4
275,YY1,DLG1
276,YY1,DEXI
277,YY1,DEAF1
278,YY1,DDX6
279,YY1,DDX49
280,YY1,DCAKD
281,YY1,CYB5D2
282,YY1,CTF1
283,YY1,CTDSP1
284,YY1,CTCF
285,YY1,CSNK2A1
286,YY1,CSAD
287,YY1,CRAT
288,YY1,CNPY4
289,YY1,CNOT3
290,YY1,CNOT2
291,YY1,CMTM3
292,YY1,CHD3
293,YY1,CHCHD10
294,YY1,CGREF1
295,YY1,CEP135
296,YY1,CELSR3
297,YY1,CDC34
298,YY1,CCT6B
299,YY1,CCDC96
300,YY1,CCDC151
301,YY1,CATSPERG
302,YY1,CAPZA1
303,YY1,C9orf163
304,YY1,C16orf72
305,YY1,BTF3
306,YY1,BSCL2
307,YY1,BRD3
308,YY1,BRAF
309,YY1,BOP1
310,YY1,B3GALT6
311,YY1,ASB2
312,YY1,ARV1
313,YY1,ARCN1
314,YY1,APIP
315,YY1,AP3D1
316,YY1,ALOXE3
317,YY1,ALG12
318,YY1,AKT1S1
319,YY1,AKIRIN2
320,YY1,AKAP3
321,YY1,ADAMTS4
322,YY1,ACTRT3
323,YY1,ACTR8
324,YY1,ACTR3
325,YY1,ACADVL
326,USF1,ZPBP2
327,USF1,ZNF503
328,USF1,ZMYND12
329,USF1,ZFYVE26
330,USF1,ZFP91-CNTF
331,USF1,ZFP91
332,USF1,ZFP36L2
333,USF1,ZCCHC7
334,USF1,ZBTB24
335,USF1,YIPF2
336,USF1,WNT10A
337,USF1,WDR81
338,USF1,VWA2
339,USF1,VPS37B
340,USF1,VPS33A
341,USF1,VPS26A
342,USF1,VPS16
343,USF1,VPS11
344,USF1,VAPA
345,USF1,VAC14
346,USF1,UTP20
347,USF1,UTP18
348,USF1,USP9X
349,USF1,UBE2B
